ctxswitch,response,throughput
0.001,1.77157,4.9772
0.011,1.83964,4.7309
0.021,1.88617,4.4917
0.031,1.93895,4.2558
0.041,2.02288,4.0608
0.051,2.06388,3.9006
0.061,2.10655,3.7131
0.071,2.11396,3.572
0.081,2.10977,3.462
0.091,2.17923,3.2816
