ctxswitch,response,throughput
0.001,3.50063,4.9731
0.011,3.66998,4.6982
0.021,3.85495,4.4151
0.031,3.82908,4.161
0.041,3.06959,3.9139
0.051,0.186456,3.6763
0.061,0,3.4495
0.071,0,3.2562
0.081,0,3.0678
0.091,0,2.9112
