ctxswitch,response,throughput
0.001,1.78168,4.8772
0.011,2.06427,3.6802
0.021,2.387,2.84
0.031,2.48076,2.2571
0.041,3.04574,1.8564
0.051,3.58341,1.5809
0.061,3.68133,1.3571
0.071,2.97086,1.1997
0.081,0,1.0829
0.091,0,0.967
