ctxswitch,response,throughput
0.001,2.9673,4.8742
0.011,3.54483,3.6839
0.021,3.01049,2.8422
0.031,0,2.2524
0.041,0,1.8669
0.051,0,1.5771
0.061,0,1.3671
0.071,0,1.2006
0.081,0,1.0726
0.091,0,0.9715
